Unnamed: 0,Name,Block,Reactor,Status,Net performance MW,Gross performance MW,Commissioning (planned),Shutdown (planned),Sleepment [11] (TWH),country,lat,lon,decommission_year,commission_year
168,Cofrentes,1,BWR,In Betrieb,1064.0,1102,11.03.1985,–,261.68,Spain,41.2,0.569444444,2033,1985.0
169,José Cabrera,1,PWR,Stillgelegt,141.0,150,13.08.1969,30.04.2006,34.63,Spain,41.2,0.569444444,2006,1969.0
170,Santa María de Garoña,1,BWR,Stillgelegt,446.0,466,11.05.1971,06.07.2013 [ES 1],126.98,Spain,41.2,0.569444444,2013,1971.0
171,Trillo,1,PWR,In Betrieb,1003.0,1066,06.08.1988,–,231.53,Spain,41.2,0.569444444,2035,1988.0
172,Vandellòs,1,GCR,Stillgelegt,480.0,500,02.08.1972,31.07.1990,53.63,Spain,40.95138889,0.866666667,1990,1972.0
173,Vandellòs,2,PWR,In Betrieb,1045.0,1087,08.03.1988,–,223.74,Spain,40.95138889,0.866666667,2034,1988.0
174,Dukovany,1,DWR,In Betrieb,468.0,500,1985-05-03  03.05.1985,–,101.63,Czechia,49.08509444,16.14899167,2051,1985.0
175,Dukovany,2,DWR,In Betrieb,471.0,500,1986-03-21  21.03.1986,–,97.99,Czechia,49.08509444,16.14899167,2051,1986.0
176,Dukovany,3,DWR,In Betrieb,468.0,500,1986-12-20  20.12.1986,–,96.12,Czechia,49.08509444,16.14899167,2051,1986.0
177,Dukovany,4,DWR,In Betrieb,471.0,500,1987-07-19  19.07.1987,–,96.97,Czechia,49.08509444,16.14899167,2051,1987.0
178,Temelín,1,DWR,In Betrieb,1026.0,1080,2002-06-10  10.06.2002,–,101.3,Czechia,49.18194444,14.38138889,2051,2002.0
179,Temelín,2,DWR,In Betrieb,1026.0,1080,2003-04-18  18.04.2003,–,96.3,Czechia,49.18194444,14.38138889,2051,2003.0
180,Temelín,3 und 4,DWR,Bau eingestellt  am 1. März 1990,892.0,972,–,–,–,Czechia,49.18194444,14.38138889,2051,
181,Paks,1,PWR,In Betrieb,479.0,500,10.08.1983,–,119.98,Hungary,46.5725,18.85416667,2051,1983.0
182,Paks,2,PWR,In Betrieb,477.0,500,14.11.1984,–,110.6,Hungary,46.5725,18.85416667,2051,1984.0
183,Paks,3,PWR,In Betrieb,473.0,500,01.12.1986,–,109.19,Hungary,46.5725,18.85416667,2051,1986.0
184,Paks,4,PWR,In Betrieb,473.0,500,01.11.1987,–,109.76,Hungary,46.5725,18.85416667,2051,1987.0
185,Berkeley,1,Magnox-Reaktor,Stillgelegt,138.0,166,12.06.1962,31.03.1989,21.01,United Kingdom,,,1989,1962.0
186,Berkeley,2,Magnox-Reaktor,Stillgelegt,138.0,166,24.06.1962,26.10.1988,21.55,United Kingdom,,,1988,1962.0
187,Bradwell,1,Magnox-Reaktor,Stillgelegt,123.0,146,01.07.1962,31.03.2002,27.11,United Kingdom,51.74194444,0.8975,2002,1962.0
188,Bradwell,2,Magnox-Reaktor,Stillgelegt,123.0,146,06.07.1962,30.03.2002,27.11,United Kingdom,51.74194444,0.8975,2002,1962.0
